sprite,block_px,latents_per_sprite_px,block_rms,palette_dist,adherence_8,block_rms_std,palette_dist_std,adherence_8_std
16,32,16,2.2548339652462346,4.944500088691711,0.9039716720581055,0.13613970101154704,0.2530817389039782,0.03374435812125025
32,16,4,3.2123757665700676,5.8363624811172485,0.8476958274841309,0.21026961845530542,0.1205658719008113,0.01710179051176976
64,8,1,7.13474106617671,14.03696095943451,0.2429814338684082,0.3873469253710612,0.5930299645446547,0.02581933816033648
